transaction_id,date,description,amount_gbp,balance_gbp,counterparty,category,raw_category
bt_000556,2025-04-07,HMRC VAT PAYMENT Q1 2025,-98531.06,153751.35,HMRC,,OTHER
bt_000045,2025-04-09,SHOPIFY* 9587 PAYOUT REF#82945,55087.15,208838.50,Shopify,,PAYOUT
bt_000046,2025-04-16,SHOPIFY* 7357 PAYOUT REF#82946,53519.62,262358.12,Shopify,,PAYOUT
bt_000368,2025-04-19,AMAZON MARKETPLACE,-4.70,262353.42,Amazon,,OTHER
bt_000047,2025-04-23,SHOPIFY* 3432 PAYOUT REF#82947,50768.04,313121.46,Shopify,,PAYOUT
bt_000366,2025-04-23,PRET A MANGER,-3.28,313118.18,Pret A Manger,,OTHER
bt_000355,2025-04-25,BACS PAYROLL 25APR STAFF,-17959.30,295158.88,Pretty Fly Payroll,,PAYROLL
bt_000367,2025-04-26,TESCO EXPRESS,-5.56,295153.32,Tesco,,OTHER
bt_000364,2025-04-28,HUB3PL LONDON N1 INVC1566,-6272.00,288881.32,Hub3PL,,FULFILMENT
bt_000365,2025-04-28,DHL EXPRESS IRL,-10752.00,278129.32,DHL,,SHIPPING
bt_000048,2025-04-30,SHOPIFY* 1552 PAYOUT REF#82948,53359.81,331489.13,Shopify,,PAYOUT
bt_000116,2025-04-30,SHOPIFY REFUND BATCH 891,-24054.13,307435.00,Shopify,,REFUND
bt_000140,2025-04-30,GOOGLE*ADS8713 CC@GOOGLE.COM,-20608.12,286826.88,Google,,MARKETING
bt_000164,2025-04-30,FB*ADS5339XK MENLO PARK,-20202.79,266624.09,Meta,,MARKETING
bt_000372,2025-05-01,SHOPIFY* SUB 78057,-79.00,266545.09,Shopify,,SAAS
bt_000378,2025-05-01,STANDING ORDER STUDIO N1 LDN,-3200.00,263345.09,Studio N1 Landlord,,RENT
bt_000373,2025-05-03,INTERCOM INC SF CA 82050,-199.00,263146.09,Intercom,,SAAS
bt_000374,2025-05-03,XERO LTD 23376,-42.00,263104.09,Xero,,SAAS
bt_000375,2025-05-03,NOTION LABS INC 39676,-24.00,263080.09,Notion Labs,,SAAS
bt_000376,2025-05-03,FIGMA INC 16878,-33.00,263047.09,Figma,,SAAS
bt_000377,2025-05-03,MIXVIEW ANALYTICS LTD 66801,-349.00,262698.09,Mixview Analytics,,SAAS
bt_000371,2025-05-05,SQ *KLAVIYO INC 9159 DUB,-241.63,262456.46,Klaviyo,,MARKETING
bt_000049,2025-05-07,SHOPIFY* 5881 PAYOUT REF#82949,49677.32,312133.78,Shopify,,PAYOUT
bt_000050,2025-05-14,SHOPIFY* 3122 PAYOUT REF#82950,48638.57,360772.35,Shopify,,PAYOUT
bt_000051,2025-05-21,SHOPIFY* 9270 PAYOUT REF#82951,48431.73,409204.08,Shopify,,PAYOUT
bt_000381,2025-05-24,PRET A MANGER,-6.60,409197.48,Pret A Manger,,OTHER
bt_000382,2025-05-24,PRET A MANGER,-11.55,409185.93,Pret A Manger,,OTHER
bt_000370,2025-05-25,BACS PAYROLL 25MAY STAFF,-18054.40,391131.53,Pretty Fly Payroll,,PAYROLL
bt_000052,2025-05-28,SHOPIFY* 3211 PAYOUT REF#82952,49358.11,440489.64,Shopify,,PAYOUT
bt_000379,2025-05-28,HUB3PL LONDON N1 INVC1548,-6160.00,434329.64,Hub3PL,,FULFILMENT
bt_000380,2025-05-28,ROYAL MAIL BUSINESS,-10560.00,423769.64,Royal Mail,,SHIPPING
bt_000117,2025-05-31,SHOPIFY REFUND BATCH 892,-24025.43,399744.21,Shopify,,REFUND
bt_000141,2025-05-31,GOOGLE*ADS5866 CC@GOOGLE.COM,-20373.07,379371.14,Google,,MARKETING
bt_000165,2025-05-31,FB*ADS1593XK MENLO PARK,-20227.62,359143.52,Meta,,MARKETING
bt_000385,2025-06-01,SHOPIFY* SUB 64451,-79.00,359064.52,Shopify,,SAAS
bt_000391,2025-06-01,STANDING ORDER STUDIO N1 LDN,-3200.00,355864.52,Studio N1 Landlord,,RENT
bt_000204,2025-06-02,SWIFT XFER PORTO KNIT CO. EUR,-37676.54,318187.98,Porto Knit Co.,,SUPPLIER
bt_000206,2025-06-02,SWIFT XFER IBERIA FOOTWEAR SA EUR,-19668.08,298519.90,Iberia Footwear SA,,SUPPLIER
bt_000386,2025-06-03,INTERCOM INC SF CA 44876,-199.00,298320.90,Intercom,,SAAS
bt_000387,2025-06-03,XERO LTD 43685,-42.00,298278.90,Xero,,SAAS
bt_000388,2025-06-03,NOTION LABS INC 20832,-24.00,298254.90,Notion Labs,,SAAS
bt_000389,2025-06-03,FIGMA INC 67843,-33.00,298221.90,Figma,,SAAS
bt_000390,2025-06-03,MIXVIEW ANALYTICS LTD 82577,-349.00,297872.90,Mixview Analytics,,SAAS
bt_000396,2025-06-03,TESCO EXPRESS,-9.29,297863.61,Tesco,,OTHER
bt_000397,2025-06-03,PRET A MANGER,-10.75,297852.86,Pret A Manger,,OTHER
bt_000053,2025-06-04,SHOPIFY* 7149 PAYOUT REF#82953,50226.42,348079.28,Shopify,,PAYOUT
bt_000394,2025-06-04,WORKSHOP COFFEE,-9.70,348069.58,Workshop Coffee,,OTHER
bt_000384,2025-06-05,SQ *KLAVIYO INC 8613 DUB,-249.96,347819.62,Klaviyo,,MARKETING
bt_000395,2025-06-10,TESCO EXPRESS,-4.42,347815.20,Tesco,,OTHER
bt_000054,2025-06-11,SHOPIFY* 5037 PAYOUT REF#82954,89223.39,437038.59,Shopify,,PAYOUT
bt_000055,2025-06-18,SHOPIFY* 2994 PAYOUT REF#82955,48964.45,486003.04,Shopify,,PAYOUT
bt_000186,2025-06-18,SWIFT XFER MILANO TRIMS SRL EUR,-15443.18,470559.86,Milano Trims SRL,,SUPPLIER
bt_000056,2025-06-25,SHOPIFY* 3984 PAYOUT REF#82956,50771.65,521331.51,Shopify,,PAYOUT
bt_000383,2025-06-25,BACS PAYROLL 25JUN STAFF,-19096.69,502234.82,Pretty Fly Payroll,,PAYROLL
bt_000392,2025-06-28,HUB3PL LONDON N1 INVC1852,-6940.50,495294.32,Hub3PL,,FULFILMENT
bt_000393,2025-06-28,DHL EXPRESS IRL,-11898.00,483396.32,DHL,,SHIPPING
bt_000118,2025-06-30,SHOPIFY REFUND BATCH 893,-23292.28,460104.04,Shopify,,REFUND
bt_000142,2025-06-30,GOOGLE*ADS5607 CC@GOOGLE.COM,-19051.02,441053.02,Google,,MARKETING
bt_000166,2025-06-30,FB*ADS8821XK MENLO PARK,-18858.31,422194.71,Meta,,MARKETING
bt_000400,2025-07-01,SHOPIFY* SUB 47198,-79.00,422115.71,Shopify,,SAAS
bt_000406,2025-07-01,STANDING ORDER STUDIO N1 LDN,-3200.00,418915.71,Studio N1 Landlord,,RENT
bt_000057,2025-07-02,SHOPIFY* 5160 PAYOUT REF#82957,53872.90,472788.61,Shopify,,PAYOUT
bt_000184,2025-07-03,SWIFT XFER PORTO KNIT CO. EUR,-44777.16,428011.45,Porto Knit Co.,,SUPPLIER
bt_000401,2025-07-03,INTERCOM INC SF CA 89355,-199.00,427812.45,Intercom,,SAAS
bt_000402,2025-07-03,XERO LTD 59327,-42.00,427770.45,Xero,,SAAS
bt_000403,2025-07-03,NOTION LABS INC 25727,-24.00,427746.45,Notion Labs,,SAAS
bt_000404,2025-07-03,FIGMA INC 90370,-33.00,427713.45,Figma,,SAAS
bt_000405,2025-07-03,MIXVIEW ANALYTICS LTD 64141,-349.00,427364.45,Mixview Analytics,,SAAS
bt_000410,2025-07-03,AMAZON MARKETPLACE,-6.62,427357.83,Amazon,,OTHER
bt_000399,2025-07-05,SQ *KLAVIYO INC 7299 DUB,-258.29,427099.54,Klaviyo,,MARKETING
bt_000557,2025-07-07,HMRC VAT PAYMENT Q2 2025,-91355.98,335743.56,HMRC,,OTHER
bt_000058,2025-07-09,SHOPIFY* 7944 PAYOUT REF#82958,49188.16,384931.72,Shopify,,PAYOUT
bt_000409,2025-07-09,PRET A MANGER,-7.76,384923.96,Pret A Manger,,OTHER
bt_000059,2025-07-16,SHOPIFY* 2419 PAYOUT REF#82959,46368.46,431292.42,Shopify,,PAYOUT
bt_000060,2025-07-23,SHOPIFY* 5257 PAYOUT REF#82960,47534.66,478827.08,Shopify,,PAYOUT
bt_000398,2025-07-25,BACS PAYROLL 25JUL STAFF,-19025.73,459801.35,Pretty Fly Payroll,,PAYROLL
bt_000407,2025-07-28,HUB3PL LONDON N1 INVC2125,-5579.00,454222.35,Hub3PL,,FULFILMENT
bt_000408,2025-07-28,ROYAL MAIL BUSINESS,-9564.00,444658.35,Royal Mail,,SHIPPING
bt_000061,2025-07-30,SHOPIFY* 6263 PAYOUT REF#82961,46431.39,491089.74,Shopify,,PAYOUT
bt_000119,2025-07-31,SHOPIFY REFUND BATCH 894,-21139.44,469950.30,Shopify,,REFUND
bt_000143,2025-07-31,GOOGLE*ADS7198 CC@GOOGLE.COM,-17917.65,452032.65,Google,,MARKETING
bt_000167,2025-07-31,FB*ADS4308XK MENLO PARK,-17601.33,434431.32,Meta,,MARKETING
bt_000413,2025-08-01,SHOPIFY* SUB 57794,-79.00,434352.32,Shopify,,SAAS
bt_000419,2025-08-01,STANDING ORDER STUDIO N1 LDN,-3200.00,431152.32,Studio N1 Landlord,,RENT
bt_000414,2025-08-03,INTERCOM INC SF CA 69909,-199.00,430953.32,Intercom,,SAAS
bt_000415,2025-08-03,XERO LTD 81180,-42.00,430911.32,Xero,,SAAS
bt_000416,2025-08-03,NOTION LABS INC 92513,-24.00,430887.32,Notion Labs,,SAAS
bt_000417,2025-08-03,FIGMA INC 76839,-33.00,430854.32,Figma,,SAAS
bt_000418,2025-08-03,MIXVIEW ANALYTICS LTD 23943,-349.00,430505.32,Mixview Analytics,,SAAS
bt_000423,2025-08-04,TESCO EXPRESS,-11.46,430493.86,Tesco,,OTHER
bt_000412,2025-08-05,SQ *KLAVIYO INC 2821 DUB,-266.62,430227.24,Klaviyo,,MARKETING
bt_000062,2025-08-06,SHOPIFY* 8022 PAYOUT REF#82962,46218.35,476445.59,Shopify,,PAYOUT
bt_000424,2025-08-11,TESCO EXPRESS,-8.42,476437.17,Tesco,,OTHER
bt_000063,2025-08-13,SHOPIFY* 5468 PAYOUT REF#82963,48174.24,524611.41,Shopify,,PAYOUT
bt_000422,2025-08-14,TESCO EXPRESS,-4.08,524607.33,Tesco,,OTHER
bt_000064,2025-08-20,SHOPIFY* 2123 PAYOUT REF#82964,48885.82,573493.15,Shopify,,PAYOUT
bt_000411,2025-08-25,BACS PAYROLL 25AUG STAFF,-19166.20,554326.95,Pretty Fly Payroll,,PAYROLL
bt_000065,2025-08-27,SHOPIFY* 5158 PAYOUT REF#82965,47992.49,602319.44,Shopify,,PAYOUT
bt_000425,2025-08-27,TESCO EXPRESS,-8.81,602310.63,Tesco,,OTHER
bt_000420,2025-08-28,HUB3PL LONDON N1 INVC3013,-5943.00,596367.63,Hub3PL,,FULFILMENT
bt_000421,2025-08-28,ROYAL MAIL BUSINESS,-10188.00,586179.63,Royal Mail,,SHIPPING
bt_000120,2025-08-31,SHOPIFY REFUND BATCH 895,-18408.94,567770.69,Shopify,,REFUND
bt_000144,2025-08-31,GOOGLE*ADS3039 CC@GOOGLE.COM,-19029.96,548740.73,Google,,MARKETING
bt_000168,2025-08-31,FB*ADS4939XK MENLO PARK,-18792.29,529948.44,Meta,,MARKETING
bt_000185,2025-09-01,SWIFT XFER PORTO KNIT CO. EUR,-44777.16,485171.28,Porto Knit Co.,,SUPPLIER
bt_000187,2025-09-01,SWIFT XFER MILANO TRIMS SRL EUR,-15443.17,469728.11,Milano Trims SRL,,SUPPLIER
bt_000428,2025-09-01,SHOPIFY* SUB 23144,-79.00,469649.11,Shopify,,SAAS
bt_000434,2025-09-01,STANDING ORDER STUDIO N1 LDN,-3200.00,466449.11,Studio N1 Landlord,,RENT
bt_000438,2025-09-02,WORKSHOP COFFEE,-7.07,466442.04,Workshop Coffee,,OTHER
bt_000066,2025-09-03,SHOPIFY* 6208 PAYOUT REF#82966,50914.86,517356.90,Shopify,,PAYOUT
bt_000429,2025-09-03,INTERCOM INC SF CA 20873,-199.00,517157.90,Intercom,,SAAS
bt_000430,2025-09-03,XERO LTD 25336,-42.00,517115.90,Xero,,SAAS
bt_000431,2025-09-03,NOTION LABS INC 96969,-24.00,517091.90,Notion Labs,,SAAS
bt_000432,2025-09-03,FIGMA INC 47992,-33.00,517058.90,Figma,,SAAS
bt_000433,2025-09-03,MIXVIEW ANALYTICS LTD 60644,-349.00,516709.90,Mixview Analytics,,SAAS
bt_000427,2025-09-05,SQ *KLAVIYO INC 6697 DUB,-274.95,516434.95,Klaviyo,,MARKETING
bt_000067,2025-09-10,SHOPIFY* 3240 PAYOUT REF#82967,109574.83,626009.78,Shopify,,PAYOUT
bt_000068,2025-09-17,SHOPIFY* 7360 PAYOUT REF#82968,61523.30,687533.08,Shopify,,PAYOUT
bt_000213,2025-09-17,SWIFT XFER MILANO TRIMS SRL EUR,-9025.00,678508.08,Milano Trims SRL,,SUPPLIER
bt_000069,2025-09-24,SHOPIFY* 7282 PAYOUT REF#82969,67272.52,745780.60,Shopify,,PAYOUT
bt_000437,2025-09-24,AMAZON MARKETPLACE,-9.89,745770.71,Amazon,,OTHER
bt_000426,2025-09-25,BACS PAYROLL 25SEP STAFF,-19171.12,726599.59,Pretty Fly Payroll,,PAYROLL
bt_000435,2025-09-28,HUB3PL LONDON N1 INVC1043,-8428.00,718171.59,Hub3PL,,FULFILMENT
bt_000436,2025-09-28,DHL EXPRESS IRL,-14448.00,703723.59,DHL,,SHIPPING
bt_000121,2025-09-30,SHOPIFY REFUND BATCH 896,-26247.60,677475.99,Shopify,,REFUND
bt_000145,2025-09-30,GOOGLE*ADS7211 CC@GOOGLE.COM,-23406.14,654069.85,Google,,MARKETING
bt_000169,2025-09-30,FB*ADS4545XK MENLO PARK,-23039.39,631030.46,Meta,,MARKETING
bt_000070,2025-10-01,SHOPIFY* 7151 PAYOUT REF#82970,67259.43,698289.89,Shopify,,PAYOUT
bt_000441,2025-10-01,SHOPIFY* SUB 26994,-79.00,698210.89,Shopify,,SAAS
bt_000447,2025-10-01,STANDING ORDER STUDIO N1 LDN,-3200.00,695010.89,Studio N1 Landlord,,RENT
bt_000450,2025-10-01,AMAZON MARKETPLACE,-4.84,695006.05,Amazon,,OTHER
bt_000211,2025-10-02,SWIFT XFER PORTO KNIT CO. EUR,-57167.57,637838.48,Porto Knit Co.,,SUPPLIER
bt_000451,2025-10-02,TESCO EXPRESS,-9.63,637828.85,Tesco,,OTHER
bt_000442,2025-10-03,INTERCOM INC SF CA 93103,-199.00,637629.85,Intercom,,SAAS
bt_000443,2025-10-03,XERO LTD 92059,-42.00,637587.85,Xero,,SAAS
bt_000444,2025-10-03,NOTION LABS INC 56815,-24.00,637563.85,Notion Labs,,SAAS
bt_000445,2025-10-03,FIGMA INC 13378,-33.00,637530.85,Figma,,SAAS
bt_000446,2025-10-03,MIXVIEW ANALYTICS LTD 72877,-349.00,637181.85,Mixview Analytics,,SAAS
bt_000440,2025-10-05,SQ *KLAVIYO INC 2692 DUB,-283.28,636898.57,Klaviyo,,MARKETING
bt_000453,2025-10-05,AMAZON MARKETPLACE,-11.05,636887.52,Amazon,,OTHER
bt_000558,2025-10-07,HMRC VAT PAYMENT Q3 2025,-100633.14,536254.38,HMRC,,OTHER
bt_000071,2025-10-08,SHOPIFY* 3762 PAYOUT REF#82971,61216.69,597471.07,Shopify,,PAYOUT
bt_000072,2025-10-15,SHOPIFY* 1330 PAYOUT REF#82972,56754.71,654225.78,Shopify,,PAYOUT
bt_000452,2025-10-17,WORKSHOP COFFEE,-8.37,654217.41,Workshop Coffee,,OTHER
bt_000073,2025-10-22,SHOPIFY* 7098 PAYOUT REF#82973,61321.05,715538.46,Shopify,,PAYOUT
bt_000439,2025-10-25,BACS PAYROLL 25OCT STAFF,-19184.17,696354.29,Pretty Fly Payroll,,PAYROLL
bt_000448,2025-10-28,HUB3PL LONDON N1 INVC7525,-7332.50,689021.79,Hub3PL,,FULFILMENT
bt_000449,2025-10-28,ROYAL MAIL BUSINESS,-12570.00,676451.79,Royal Mail,,SHIPPING
bt_000074,2025-10-29,SHOPIFY* 2591 PAYOUT REF#82974,64130.04,740581.83,Shopify,,PAYOUT
bt_000122,2025-10-31,SHOPIFY REFUND BATCH 897,-26642.25,713939.58,Shopify,,REFUND
bt_000146,2025-10-31,GOOGLE*ADS8749 CC@GOOGLE.COM,-23625.92,690313.66,Google,,MARKETING
bt_000170,2025-10-31,FB*ADS6269XK MENLO PARK,-23176.51,667137.15,Meta,,MARKETING
bt_000456,2025-11-01,SHOPIFY* SUB 39570,-79.00,667058.15,Shopify,,SAAS
bt_000462,2025-11-01,STANDING ORDER STUDIO N1 LDN,-3200.00,663858.15,Studio N1 Landlord,,RENT
bt_000457,2025-11-03,INTERCOM INC SF CA 73831,-199.00,663659.15,Intercom,,SAAS
bt_000458,2025-11-03,XERO LTD 36844,-42.00,663617.15,Xero,,SAAS
bt_000459,2025-11-03,NOTION LABS INC 56854,-24.00,663593.15,Notion Labs,,SAAS
bt_000460,2025-11-03,FIGMA INC 66855,-33.00,663560.15,Figma,,SAAS
bt_000461,2025-11-03,MIXVIEW ANALYTICS LTD 94602,-349.00,663211.15,Mixview Analytics,,SAAS
bt_000075,2025-11-05,SHOPIFY* 6251 PAYOUT REF#82975,66061.99,729273.14,Shopify,,PAYOUT
bt_000455,2025-11-05,SQ *KLAVIYO INC 1117 DUB,-291.61,728981.53,Klaviyo,,MARKETING
bt_000465,2025-11-11,PRET A MANGER,-5.05,728976.48,Pret A Manger,,OTHER
bt_000076,2025-11-12,SHOPIFY* 6480 PAYOUT REF#82976,78761.70,807738.18,Shopify,,PAYOUT
bt_000077,2025-11-19,SHOPIFY* 8565 PAYOUT REF#82977,87402.38,895140.56,Shopify,,PAYOUT
bt_000466,2025-11-24,TESCO EXPRESS,-4.53,895136.03,Tesco,,OTHER
bt_000454,2025-11-25,BACS PAYROLL 25NOV STAFF,-19080.54,876055.49,Pretty Fly Payroll,,PAYROLL
bt_000078,2025-11-26,SHOPIFY* 3422 PAYOUT REF#82978,78960.09,955015.58,Shopify,,PAYOUT
bt_000463,2025-11-28,HUB3PL LONDON N1 INVC4689,-12502.00,942513.58,Hub3PL,,FULFILMENT
bt_000464,2025-11-28,DHL EXPRESS IRL,-21432.00,921081.58,DHL,,SHIPPING
bt_000123,2025-11-30,SHOPIFY REFUND BATCH 898,-28894.24,892187.34,Shopify,,REFUND
bt_000147,2025-11-30,GOOGLE*ADS3037 CC@GOOGLE.COM,-29314.45,862872.89,Google,,MARKETING
bt_000171,2025-11-30,FB*ADS4071XK MENLO PARK,-28397.26,834475.63,Meta,,MARKETING
bt_000212,2025-12-01,SWIFT XFER PORTO KNIT CO. EUR,-57167.56,777308.07,Porto Knit Co.,,SUPPLIER
bt_000214,2025-12-01,SWIFT XFER MILANO TRIMS SRL EUR,-9024.99,768283.08,Milano Trims SRL,,SUPPLIER
bt_000469,2025-12-01,SHOPIFY* SUB 14359,-79.00,768204.08,Shopify,,SAAS
bt_000475,2025-12-01,STANDING ORDER STUDIO N1 LDN,-3200.00,765004.08,Studio N1 Landlord,,RENT
bt_000079,2025-12-03,SHOPIFY* 3750 PAYOUT REF#82979,211460.96,976465.04,Shopify,,PAYOUT
bt_000470,2025-12-03,INTERCOM INC SF CA 74657,-199.00,976266.04,Intercom,,SAAS
bt_000471,2025-12-03,XERO LTD 54357,-42.00,976224.04,Xero,,SAAS
bt_000472,2025-12-03,NOTION LABS INC 75081,-24.00,976200.04,Notion Labs,,SAAS
bt_000473,2025-12-03,FIGMA INC 42550,-33.00,976167.04,Figma,,SAAS
bt_000474,2025-12-03,MIXVIEW ANALYTICS LTD 95103,-349.00,975818.04,Mixview Analytics,,SAAS
bt_000479,2025-12-03,AMAZON MARKETPLACE,-10.84,975807.20,Amazon,,OTHER
bt_000468,2025-12-05,SQ *KLAVIYO INC 6584 DUB,-299.94,975507.26,Klaviyo,,MARKETING
bt_000478,2025-12-08,AMAZON MARKETPLACE,-4.14,975503.12,Amazon,,OTHER
bt_000480,2025-12-08,AMAZON MARKETPLACE,-7.32,975495.80,Amazon,,OTHER
bt_000080,2025-12-10,SHOPIFY* 5062 PAYOUT REF#82980,116097.65,1091593.45,Shopify,,PAYOUT
bt_000199,2025-12-10,SWIFT XFER MILANO TRIMS SRL EUR,-3916.50,1087676.95,Milano Trims SRL,,SUPPLIER
bt_000081,2025-12-17,SHOPIFY* 3023 PAYOUT REF#82981,70097.63,1157774.58,Shopify,,PAYOUT
bt_000082,2025-12-24,SHOPIFY* 9047 PAYOUT REF#82982,67622.81,1225397.39,Shopify,,PAYOUT
bt_000197,2025-12-25,SWIFT XFER PORTO KNIT CO. EUR,-12158.83,1213238.56,Porto Knit Co.,,SUPPLIER
bt_000467,2025-12-25,BACS PAYROLL 25DEC STAFF,-19012.43,1194226.13,Pretty Fly Payroll,,PAYROLL
bt_000476,2025-12-28,HUB3PL LONDON N1 INVC6122,-9523.50,1184702.63,Hub3PL,,FULFILMENT
bt_000477,2025-12-28,ROYAL MAIL BUSINESS,-16326.00,1168376.63,Royal Mail,,SHIPPING
bt_000083,2025-12-31,SHOPIFY* 1551 PAYOUT REF#82983,72396.72,1240773.35,Shopify,,PAYOUT
bt_000124,2025-12-31,SHOPIFY REFUND BATCH 899,-46421.18,1194352.17,Shopify,,REFUND
bt_000148,2025-12-31,GOOGLE*ADS9889 CC@GOOGLE.COM,-26498.75,1167853.42,Google,,MARKETING
bt_000172,2025-12-31,FB*ADS1753XK MENLO PARK,-32334.69,1135518.73,Meta,,MARKETING
bt_000483,2026-01-01,SHOPIFY* SUB 70373,-79.00,1135439.73,Shopify,,SAAS
bt_000489,2026-01-01,STANDING ORDER STUDIO N1 LDN,-3200.00,1132239.73,Studio N1 Landlord,,RENT
bt_000484,2026-01-03,INTERCOM INC SF CA 73481,-199.00,1132040.73,Intercom,,SAAS
bt_000485,2026-01-03,XERO LTD 40771,-42.00,1131998.73,Xero,,SAAS
bt_000486,2026-01-03,NOTION LABS INC 41099,-24.00,1131974.73,Notion Labs,,SAAS
bt_000487,2026-01-03,FIGMA INC 25210,-33.00,1131941.73,Figma,,SAAS
bt_000488,2026-01-03,MIXVIEW ANALYTICS LTD 99682,-349.00,1131592.73,Mixview Analytics,,SAAS
bt_000482,2026-01-05,SQ *KLAVIYO INC 3353 DUB,-308.27,1131284.46,Klaviyo,,MARKETING
bt_000084,2026-01-07,SHOPIFY* 8761 PAYOUT REF#82984,102983.84,1234268.30,Shopify,,PAYOUT
bt_000495,2026-01-07,TESCO EXPRESS,-7.61,1234260.69,Tesco,,OTHER
bt_000559,2026-01-07,HMRC VAT PAYMENT Q4 2025,-146042.09,1088218.60,HMRC,,OTHER
bt_000492,2026-01-12,WORKSHOP COFFEE,-3.62,1088214.98,Workshop Coffee,,OTHER
bt_000085,2026-01-14,SHOPIFY* 6099 PAYOUT REF#82985,81195.68,1169410.66,Shopify,,PAYOUT
bt_000493,2026-01-16,AMAZON MARKETPLACE,-8.44,1169402.22,Amazon,,OTHER
bt_000086,2026-01-21,SHOPIFY* 1032 PAYOUT REF#82986,68425.13,1237827.35,Shopify,,PAYOUT
bt_000494,2026-01-23,PRET A MANGER,-9.14,1237818.21,Pret A Manger,,OTHER
bt_000481,2026-01-25,BACS PAYROLL 25JAN STAFF,-18156.70,1219661.51,Pretty Fly Payroll,,PAYROLL
bt_000087,2026-01-28,SHOPIFY* 3386 PAYOUT REF#82987,68648.15,1288309.66,Shopify,,PAYOUT
bt_000490,2026-01-28,HUB3PL LONDON N1 INVC1453,-9457.00,1278852.66,Hub3PL,,FULFILMENT
bt_000491,2026-01-28,ROYAL MAIL BUSINESS,-16212.00,1262640.66,Royal Mail,,SHIPPING
bt_000125,2026-01-31,SHOPIFY REFUND BATCH 900,-32758.29,1229882.37,Shopify,,REFUND
bt_000149,2026-01-31,GOOGLE*ADS3369 CC@GOOGLE.COM,-25451.22,1204431.15,Google,,MARKETING
bt_000173,2026-01-31,FB*ADS1448XK MENLO PARK,-31215.45,1173215.70,Meta,,MARKETING
bt_000498,2026-02-01,SHOPIFY* SUB 36932,-79.00,1173136.70,Shopify,,SAAS
bt_000504,2026-02-01,STANDING ORDER STUDIO N1 LDN,-3200.00,1169936.70,Studio N1 Landlord,,RENT
bt_000499,2026-02-03,INTERCOM INC SF CA 36165,-199.00,1169737.70,Intercom,,SAAS
bt_000500,2026-02-03,XERO LTD 86406,-42.00,1169695.70,Xero,,SAAS
bt_000501,2026-02-03,NOTION LABS INC 10775,-24.00,1169671.70,Notion Labs,,SAAS
bt_000502,2026-02-03,FIGMA INC 38092,-33.00,1169638.70,Figma,,SAAS
bt_000503,2026-02-03,MIXVIEW ANALYTICS LTD 47419,-349.00,1169289.70,Mixview Analytics,,SAAS
bt_000508,2026-02-03,TESCO EXPRESS,-6.45,1169283.25,Tesco,,OTHER
bt_000088,2026-02-04,SHOPIFY* 5625 PAYOUT REF#82988,67358.00,1236641.25,Shopify,,PAYOUT
bt_000497,2026-02-05,SQ *KLAVIYO INC 2870 DUB,-316.60,1236324.65,Klaviyo,,MARKETING
bt_000507,2026-02-10,AMAZON MARKETPLACE,-7.85,1236316.80,Amazon,,OTHER
bt_000089,2026-02-11,SHOPIFY* 9710 PAYOUT REF#82989,53797.02,1290113.82,Shopify,,PAYOUT
bt_000509,2026-02-12,TESCO EXPRESS,-11.92,1290101.90,Tesco,,OTHER
bt_000090,2026-02-18,SHOPIFY* 9364 PAYOUT REF#82990,53430.40,1343532.30,Shopify,,PAYOUT
bt_000198,2026-02-23,SWIFT XFER PORTO KNIT CO. EUR,-12158.82,1331373.48,Porto Knit Co.,,SUPPLIER
bt_000200,2026-02-23,SWIFT XFER MILANO TRIMS SRL EUR,-3916.50,1327456.98,Milano Trims SRL,,SUPPLIER
bt_000091,2026-02-25,SHOPIFY* 9011 PAYOUT REF#82991,53673.55,1381130.53,Shopify,,PAYOUT
bt_000496,2026-02-25,BACS PAYROLL 25FEB STAFF,-18021.98,1363108.55,Pretty Fly Payroll,,PAYROLL
bt_000126,2026-02-28,SHOPIFY REFUND BATCH 901,-25146.62,1337961.93,Shopify,,REFUND
bt_000150,2026-02-28,GOOGLE*ADS1236 CC@GOOGLE.COM,-19124.04,1318837.89,Google,,MARKETING
bt_000174,2026-02-28,FB*ADS7819XK MENLO PARK,-22464.10,1296373.79,Meta,,MARKETING
bt_000505,2026-02-28,HUB3PL LONDON N1 INVC6360,-6996.50,1289377.29,Hub3PL,,FULFILMENT
bt_000506,2026-02-28,ROYAL MAIL BUSINESS,-11994.00,1277383.29,Royal Mail,,SHIPPING
bt_000512,2026-03-01,SHOPIFY* SUB 83388,-79.00,1277304.29,Shopify,,SAAS
bt_000518,2026-03-01,STANDING ORDER STUDIO N1 LDN,-3200.00,1274104.29,Studio N1 Landlord,,RENT
bt_000513,2026-03-03,INTERCOM INC SF CA 49744,-199.00,1273905.29,Intercom,,SAAS
bt_000514,2026-03-03,XERO LTD 21091,-42.00,1273863.29,Xero,,SAAS
bt_000515,2026-03-03,NOTION LABS INC 70267,-24.00,1273839.29,Notion Labs,,SAAS
bt_000516,2026-03-03,FIGMA INC 51883,-33.00,1273806.29,Figma,,SAAS
bt_000517,2026-03-03,MIXVIEW ANALYTICS LTD 53352,-349.00,1273457.29,Mixview Analytics,,SAAS
bt_000092,2026-03-04,SHOPIFY* 4146 PAYOUT REF#82992,99949.84,1373407.13,Shopify,,PAYOUT
bt_000511,2026-03-05,SQ *KLAVIYO INC 4771 DUB,-324.93,1373082.20,Klaviyo,,MARKETING
